,Momt5,rwR5,ABV_Diff
32400,,,832.0
32460,,,-283.0
32520,,,-430.0
32580,,,-112.0
32640,,-0.36363636363636365,351.0
32700,-0.004650330888928635,-0.9117647058823529,-622.0
32760,-0.005722460658082976,-0.7647058823529411,637.0
32820,-0.002332675399246366,-0.6111111111111112,392.0
32880,-0.003403797921891795,-0.6666666666666666,-203.0
32940,-0.003225228453682136,-0.6896551724137931,-610.0
33000,-0.0017969451931716084,-0.35294117647058826,222.0
33060,-0.0017985611510791368,-0.18181818181818182,-250.0
33120,0.0,0.0,-189.0
33180,-0.0010785547366528852,-0.3333333333333333,-26.0
33240,-0.0017975912277548086,-0.43478260869565216,1805.0
33300,-0.0036003600360036,-0.5862068965517241,-601.0
33360,-0.0009009009009009009,-0.41379310344827586,142.0
33420,-0.003237410071942446,-0.7241379310344828,243.0
33480,-0.003958970667626417,-0.8928571428571429,-398.0
33540,-0.0014406627048442284,0.2777777777777778,1760.0
33600,0.0027100271002710027,0.20833333333333334,-265.0
33660,0.0018034265103697023,0.2692307692307692,-268.0
33720,0.0007217610970768675,0.4444444444444444,14.0
33780,0.004336043360433604,0.9411764705882353,374.0
33840,0.002344454463480613,0.42105263157894735,206.0
33900,0.0009009009009009009,0.0,-1004.0
33960,-0.00234023402340234,-0.5925925925925926,318.0
34020,-0.0018031013342949874,-0.6666666666666666,-746.0
34080,-0.0025184385680877856,-0.5185185185185185,-1435.0
34140,-0.0008996041741633681,-0.16666666666666666,-1167.0
34200,-0.0016201620162016202,-0.3333333333333333,-533.0
34260,0.0025261638397690365,0.35,121.0
34320,0.0023482658959537574,0.15384615384615385,120.0
34380,0.0032461677186654643,0.8636363636363636,-166.0
34440,0.0018008283810552854,0.45454545454545453,-372.0
34500,0.003425892535160476,0.9444444444444444,-314.0
34560,0.0014398848092152627,0.8823529411764706,-87.0
34620,0.0018021265092809514,0.42857142857142855,307.0
34680,-0.001258313859428366,-0.6363636363636364,-200.0
34740,-0.0008987956138774043,-0.3333333333333333,-411.0
34800,-0.0016172506738544475,-0.5833333333333334,-347.0
34860,-0.002156721782890007,-0.45454545454545453,-285.0
34920,-0.001978773160640403,-0.6,-254.0
34980,-0.0012598992080633548,-0.4,-43.0
35040,-0.0010795250089960418,-0.42857142857142855,10.0
35100,-0.0017998560115190785,-0.7692307692307693,-315.0
35160,0.0,0.18181818181818182,-162.0
35220,0.0005407354001441961,0.2727272727272727,-303.0
35280,-0.00018021265092809516,-0.18181818181818182,178.0
35340,-0.00018011527377521613,0.4,-827.0
35400,0.000721240533717995,-0.2,-1461.0
35460,-0.001080691642651297,-0.3333333333333333,-651.0
35520,-0.0001801477211313277,-0.18181818181818182,-101.0
35580,0.0003604902667627974,0.0,-237.0
35640,-0.0007205908845253108,-0.3,-69.0
35700,0.00018018018018018018,0.4,95.0
35760,0.0016227912008654887,0.35714285714285715,320.0
35820,0.001981981981981982,0.5625,-319.0
35880,0.001981981981981982,0.5,136.0
35940,0.0012619433928249505,0.25,77.0
36000,0.0019816249324446046,0.631578947368421,-594.0
36060,0.0009000900090009,0.0,-144.0
36120,-0.0007192950908110052,-0.16666666666666666,-219.0
36180,0.0003596475454055026,-0.16666666666666666,137.0
36240,0.0009002520705797623,0.2727272727272727,-63.0
36300,0.0016181229773462784,0.6666666666666666,-200.0
36360,0.001079136690647482,0.5,-74.0
36420,0.002699298182472557,0.5909090909090909,561.0
36480,0.0014380729822038468,0.45,239.0
36540,0.0021586616297895305,0.6,-231.0
36600,-0.0007180039490217197,0.11764705882352941,-316.0
36660,0.00035932446999640676,-0.06666666666666667,52.0
36720,-0.0003589375448671931,-0.4,139.0
36780,-0.0008975049362771495,-0.36363636363636365,642.0
36840,-0.0008975049362771495,-0.38461538461538464,137.0
37800,0.0007185198491108317,0.3333333333333333,126.0
37860,-0.0005387931034482759,-0.08333333333333333,-196.0
37920,-0.0003590664272890485,-0.16666666666666666,2.0
37980,0.0007186489399928135,0.38461538461538464,-210.0
38040,0.0007186489399928135,0.18181818181818182,1.0
38100,-0.0007180039490217197,-0.36363636363636365,68.0
38160,-0.0016172506738544475,-0.42105263157894735,1856.0
38220,-0.001257183908045977,-0.631578947368421,118.0
38280,-0.001615798922800718,-0.5,5800.0
38340,-0.001615798922800718,-0.375,1177.0
38400,0.00035925992455541585,-0.1875,-704.0
38460,0.0017998560115190785,0.21428571428571427,7.0
38520,0.0017982377270275131,0.8235294117647058,-31.0
38580,0.0014385901816220104,0.6666666666666666,-44.0
38640,0.0019780614997302643,0.5555555555555556,-9.0
38700,0.0005386963548213323,0.5,-332.0
38760,0.0010779734099892202,0.5,-39.0
