,Momt5,rwR5,ABV_Diff
32400,,,5110.0
32460,,,-3735.0
32520,,,10261.0
32580,,,3042.0
32640,,-0.4444444444444444,-6332.0
32700,-0.0007320644216691069,-0.5454545454545454,9179.0
32760,-0.007283321194464676,-0.7692307692307693,2006.0
32820,-0.0007304601899196494,-0.2222222222222222,22298.0
32880,-0.00145985401459854,0.0,-3100.0
32940,0.0021945866861741038,0.7,16715.0
33000,0.004395604395604396,0.7,5203.0
33060,0.005135730007336757,0.5,12887.0
33120,0.0007309941520467836,0.25,-2031.0
33180,0.0014619883040935672,0.75,433.0
33240,0.00072992700729927,0.5,-9174.0
33300,-0.0029175784099197666,-0.3333333333333333,4636.0
33360,-0.00072992700729927,-0.16666666666666666,10136.0
33420,0.0,-0.16666666666666666,13335.0
33480,0.0,-0.16666666666666666,8559.0
33540,-0.0007293946024799417,0.3333333333333333,32656.0
33600,0.0036576444769568397,0.2857142857142857,-3393.0
33660,0.0029218407596785976,0.5714285714285714,5807.0
33720,0.004382761139517896,0.5714285714285714,14046.0
33780,0.0036496350364963502,0.8571428571428571,12281.0
33840,0.0021897810218978104,0.3333333333333333,11422.0
33900,0.0007288629737609329,-0.25,-12525.0
33960,-0.0007283321194464676,0.0,-11796.0
34020,-0.002181818181818182,-0.5,14710.0
34080,-0.0014545454545454545,0.0,22981.0
34140,0.0007283321194464676,0.0,63126.0
34200,0.0,0.0,-21390.0
34260,0.0014577259475218659,0.5,58670.0
34320,0.0014577259475218659,0.5,71501.0
34380,0.0,-0.25,18.0
34440,-0.000727802037845706,-0.25,-38598.0
34500,-0.0007283321194464676,0.0,-13065.0
34560,-0.000727802037845706,0.0,11516.0
34620,-0.000727802037845706,-0.3333333333333333,9295.0
34680,-0.0007283321194464676,-0.3333333333333333,-14337.0
34740,-0.0007283321194464676,-0.3333333333333333,-9247.0
34800,0.0,-0.3333333333333333,-4687.0
34860,-0.0007283321194464676,-0.25,5882.0
34920,-0.0007283321194464676,-0.3333333333333333,9165.0
34980,0.0,0.0,-15145.0
35040,0.0007288629737609329,0.2,64675.0
35100,0.0007288629737609329,0.2,-9138.0
35160,0.0014577259475218659,0.75,82958.0
35220,0.002186588921282799,0.8,22119.0
35280,0.0014577259475218659,0.25,13273.0
35340,0.0014566642388929353,0.0,23211.0
35400,0.0007283321194464676,0.0,-24114.0
35460,0.0,0.0,-20307.0
35520,0.0,0.0,33400.0
35580,0.001455604075691412,0.4,1948.0
35640,0.0036363636363636364,0.75,18231.0
35700,0.004366812227074236,0.625,1672.0
35760,0.005094614264919942,0.875,-1095.0
35820,0.004363636363636364,0.8571428571428571,743.0
35880,0.003633720930232558,0.4,33650.0
35940,0.0014492753623188406,0.5,-21484.0
36000,0.0,-0.3333333333333333,7759.0
36060,0.000724112961622013,0.25,3922.0
36120,0.000724112961622013,0.5,32118.0
36180,0.001448225923244026,0.5,10588.0
36240,0.001447178002894356,0.8333333333333334,1365.0
36300,0.002898550724637681,0.6,2022.0
36360,0.002894356005788712,0.6666666666666666,21856.0
36420,0.00361794500723589,0.6666666666666666,5686.0
36480,0.0028922631959508315,0.6666666666666666,-11835.0
36540,0.000722543352601156,0.5,2226.0
36600,0.001445086705202312,0.25,-63592.0
36660,0.0007215007215007215,0.25,-21993.0
36720,-0.0014419610670511895,-0.5,1533.0
36780,-0.0021629416005767843,-0.6666666666666666,-20613.0
36840,-0.0007220216606498195,-0.6666666666666666,45251.0
37800,-0.001443001443001443,-0.75,26577.0
37860,-0.002883922134102379,-0.25,-11159.0
37920,-0.001444043321299639,-0.3333333333333333,19534.0
37980,-0.001445086705202312,-0.5,-9035.0
38040,-0.000722543352601156,-0.25,31738.0
38100,-0.000722543352601156,-0.5,4006.0
38160,0.0007230657989877079,0.5,13045.0
38220,0.0,0.0,-4583.0
38280,0.001447178002894356,0.6666666666666666,-8316.0
38340,0.0014461315979754157,1.0,29893.0
38400,0.0014461315979754157,0.0,3064.0
38460,0.000722543352601156,0.3333333333333333,6328.0
38520,0.0021691973969631237,0.6666666666666666,26500.0
38580,0.000722543352601156,0.6666666666666666,8883.0
38640,0.0007220216606498195,1.0,-9369.0
38700,0.0021660649819494585,0.6666666666666666,21803.0
38760,0.0007220216606498195,0.3333333333333333,20851.0
38820,0.0007215007215007215,0.6666666666666666,9005.0
38880,0.0021660649819494585,0.6666666666666666,66156.0
38940,0.0021645021645021645,0.6666666666666666,16927.0
39000,0.0007204610951008645,0.5,-9529.0
39060,0.0021645021645021645,0.5,-3785.0
39120,0.0007209805335255948,0.0,31374.0
39180,-0.0007204610951008645,-0.5,23974.0
39240,-0.0014398848092152627,-1.0,25180.0
39300,-0.0007199424046076314,0.0,27062.0
39360,-0.0007199424046076314,0.0,-15395.0
39420,0.0,0.0,307.0
39480,0.0,0.0,-14471.0
39540,0.0007209805335255948,0.5,9147.0
39600,0.0007204610951008645,0.3333333333333333,10810.0
39660,0.0,0.3333333333333333,-22346.0
39720,0.0007204610951008645,0.3333333333333333,-27355.0
39780,0.0007209805335255948,0.3333333333333333,-5078.0
39840,0.002161383285302594,0.75,30570.0
39900,0.0007199424046076314,0.75,67920.0
39960,0.002161383285302594,0.4,33669.0
40020,0.004319654427645789,0.8571428571428571,10269.0
40080,0.0036023054755043226,0.7142857142857143,21250.0
40140,0.002156721782890007,0.6666666666666666,7383.0
40200,0.0035971223021582736,0.7142857142857143,-41537.0
40260,0.002875629043853343,0.5,-7987.0
40320,0.0,0.25,11697.0
40380,0.0007178750897343862,0.0,5794.0
40440,0.0007173601147776184,0.0,31628.0
40500,0.002150537634408602,0.3333333333333333,5539.0
40560,0.002867383512544803,0.7142857142857143,15501.0
40620,0.002867383512544803,0.5714285714285714,19172.0
40680,0.003586800573888092,0.7142857142857143,4569.0
40740,0.0014336917562724014,0.0,-49652.0
40800,-0.004291845493562232,-0.7,-19822.0
40860,-0.005718370264474625,-0.7272727272727273,-547.0
40920,-0.007862759113652609,-0.8333333333333334,-15352.0
40980,-0.006433166547533953,-0.7272727272727273,-2871.0
41040,-0.005010737294201861,-0.6,-82486.0
41100,-0.0014367816091954023,-0.2,-14407.0
41160,0.0,0.2,-39009.0
41220,0.002161383285302594,0.5,19941.0
41280,0.0007194244604316547,0.0,8139.0
41340,0.0014388489208633094,0.5,-11850.0
48600,0.0,-0.25,-1374.0
48660,-0.0014378145219266715,-0.2,-4928.0
48720,-0.002156721782890007,-0.6666666666666666,-206.0
48780,-0.002156721782890007,-0.6,-7009.0
48840,-0.0028735632183908046,-0.6,20745.0
48900,-0.0014388489208633094,-0.5,-25864.0
48960,-0.0007199424046076314,-0.5,-35003.0
49020,0.0007204610951008645,0.3333333333333333,-13403.0
49080,0.0007204610951008645,0.6666666666666666,-21045.0
49140,0.0007204610951008645,0.3333333333333333,-30278.0
49200,0.0007204610951008645,0.6666666666666666,-26712.0
49260,0.0007204610951008645,0.3333333333333333,1904.0
49320,0.0014398848092152627,0.5,-9090.0
49380,0.0014398848092152627,0.2,-20480.0
49440,0.0021598272138228943,0.6,-30891.0
49500,0.0014398848092152627,0.2,-36918.0
49560,0.0007199424046076314,-0.16666666666666666,-5787.0
49620,-0.002156721782890007,-0.6666666666666666,-20081.0
49680,-0.002875629043853343,-0.8333333333333334,-738.0
49740,-0.0021551724137931034,-0.6,-58185.0
49800,-0.0014378145219266715,-0.25,-58085.0
49860,-0.0007194244604316547,0.25,-61166.0
49920,0.0,0.0,-43376.0
49980,0.0007209805335255948,-0.3333333333333333,-5701.0
50040,-0.0007199424046076314,0.0,-65356.0
50100,-0.0014398848092152627,-0.6666666666666666,-122460.0
50160,-0.0014398848092152627,-0.4,31956.0
50220,-0.001440922190201729,-0.5,-55734.0
50280,-0.001440922190201729,-0.5,24310.0
50340,-0.001440922190201729,-0.6666666666666666,-23816.0
50400,-0.0014419610670511895,-0.5,-25438.0
50460,0.0,0.3333333333333333,56320.0
50520,0.0,0.0,22851.0
50580,0.0007215007215007215,0.25,23377.0
50640,0.001443001443001443,0.6,-80571.0
50700,0.001444043321299639,0.6,-9861.0
50760,-0.0014419610670511895,-0.5,-17320.0
50820,-0.0007215007215007215,-0.4,-27016.0
50880,-0.0014419610670511895,-0.6,-58760.0
50940,-0.002161383285302594,-0.5,-17828.0
51000,-0.0021629416005767843,-0.75,-15592.0
51060,-0.0007220216606498195,-0.6666666666666666,13883.0
51120,0.0,-0.3333333333333333,-24723.0
51180,0.0,0.3333333333333333,-72733.0
51240,0.0,0.0,2223.0
51300,0.000722543352601156,0.3333333333333333,-58613.0
51360,0.001445086705202312,0.5,31019.0
51420,0.0007220216606498195,0.3333333333333333,2692.0
51480,0.001444043321299639,0.5,9016.0
51540,0.001444043321299639,0.5,-2412.0
51600,0.001444043321299639,0.6666666666666666,-345.0
51660,0.001443001443001443,0.75,158.0
51720,0.001443001443001443,0.6666666666666666,-23855.0
51780,0.0014419610670511895,0.5,-46971.0
51840,0.0021629416005767843,0.5,-11434.0
51900,0.0021629416005767843,0.75,-60377.0
51960,0.001440922190201729,0.3333333333333333,4658.0
52020,0.002161383285302594,0.75,-2385.0
52080,0.0007199424046076314,0.5,-46623.0
52140,0.0,0.3333333333333333,-12453.0
52200,0.0,0.0,-36680.0
52260,0.0,0.0,-6863.0
52320,-0.0007189072609633358,-0.5,-6173.0
52380,-0.0007194244604316547,-0.5,-17705.0
52440,-0.0007194244604316547,0.0,-11302.0
52500,-0.0007194244604316547,-0.3333333333333333,7518.0
52560,-0.0007194244604316547,-0.6666666666666666,9242.0
52620,-0.0007194244604316547,-0.5,1835.0
