,Momt5,rwR5,ABV_Diff
32400,,,2631.0
32460,,,-3671.0
32520,,,14347.0
32580,,,14297.0
32640,,0.42857142857142855,1252.0
32700,0.005090909090909091,0.5454545454545454,1114.0
32760,0.003266787658802178,0.8,7571.0
32820,0.00362844702467344,0.25,2888.0
32880,-0.0003619254433586681,-0.375,-498.0
32940,0.000723589001447178,0.7,3576.0
33000,0.002170767004341534,0.5,6914.0
33060,0.003979739507959479,0.6111111111111112,-4169.0
33120,0.0032537960954446853,0.6111111111111112,-5254.0
33180,0.002896451846488052,0.4444444444444444,-4377.0
33240,0.0036153289949385392,0.6428571428571429,4004.0
33300,0.0010830324909747292,-0.1111111111111111,3221.0
33360,-0.0007207207207207207,0.125,-4776.0
33420,0.0018018018018018018,0.625,6826.0
33480,0.005776173285198556,0.7222222222222222,982.0
33540,0.002161383285302594,0.5882352941176471,12699.0
33600,0.00576992426974396,0.6666666666666666,3091.0
33660,0.006130544536602957,0.85,-1180.0
33720,0.0057553956834532375,0.5,3633.0
33780,0.003230437903804738,0.5,7058.0
33840,0.0035945363048166786,0.3333333333333333,-13794.0
33900,0.002151308712800287,0.29411764705882354,-4565.0
33960,-0.0007168458781362007,-0.3888888888888889,1600.0
34020,-0.003218884120171674,-0.42105263157894735,7704.0
34080,-0.0014311270125223613,-0.26666666666666666,-2180.0
34140,0.002507163323782235,0.35,4491.0
34200,0.001073345259391771,0.6,3819.0
34260,0.002152080344332855,0.4,12457.0
34320,0.001076426264800861,0.21428571428571427,4895.0
34380,0.00035829451809387314,-0.2727272727272727,-192.0
34440,-0.0035727045373347625,-0.2,-3855.0
34500,-0.0014295925661186562,-0.25,13631.0
34560,-0.0025053686471009306,-0.4444444444444444,-5474.0
34620,-0.002150537634408602,-0.5,2409.0
34680,-0.002148997134670487,-0.5714285714285714,8782.0
34740,0.00035855145213338117,-0.07142857142857142,6180.0
34800,-0.0017895490336435219,-0.25,1514.0
34860,0.0,0.1,-608.0
34920,0.002514367816091954,0.7777777777777778,5773.0
34980,0.0017946877243359654,0.5,-8550.0
35040,0.002867383512544803,0.75,8694.0
35100,0.0010756543564001434,0.16666666666666666,196.0
35160,0.0014352350197344816,0.2727272727272727,-5337.0
35220,-0.00035829451809387314,-0.2222222222222222,1311.0
35280,-0.0007165890361877463,-0.09090909090909091,1562.0
35340,-0.0025017869907076485,-0.2,8966.0
35400,-0.0017908309455587394,-0.6,6015.0
35460,-0.0007165890361877463,-0.2,1179.0
35520,0.00035842293906810036,-0.2,8898.0
35580,0.0014342058085335247,0.2,-3816.0
35640,0.0010748835542816195,0.4,-2160.0
35700,0.0014352350197344816,0.5,1109.0
35760,0.0017927572606669057,0.8333333333333334,10660.0
35820,0.00035829451809387314,-0.4,-10424.0
35880,0.0007160759040458289,0.1111111111111111,14140.0
35940,0.0,0.2222222222222222,2950.0
36000,-0.0010748835542816195,-0.4166666666666667,-6095.0
36060,-0.002863278453829635,-0.5,-2541.0
36120,-0.0017908309455587394,-0.2857142857142857,-9969.0
36180,-0.0032200357781753132,-0.5625,-11170.0
36240,-0.002863278453829635,-0.5,701.0
36300,0.0003586800573888092,0.4444444444444444,2243.0
36360,0.0,-0.2222222222222222,-2941.0
36420,-0.0003588087549336204,-0.2222222222222222,-3178.0
36480,0.0014357501794687725,0.8571428571428571,6865.0
36540,0.0010768126346015793,0.14285714285714285,12234.0
36600,0.00035855145213338117,0.14285714285714285,18408.0
36660,0.0014357501794687725,0.2857142857142857,-8000.0
36720,0.0017946877243359654,0.8,5456.0
36780,0.0,0.0,-8110.0
36840,0.0014342058085335247,0.6666666666666666,13448.0
37800,-0.0007168458781362007,-0.3333333333333333,734.0
37860,0.0,0.16666666666666666,-4274.0
37920,0.0010748835542816195,0.4444444444444444,-7617.0
37980,0.0014336917562724014,0.3,-1620.0
38040,0.0007160759040458289,0.3,6717.0
38100,0.003586800573888092,0.7,31217.0
38160,0.0017921146953405018,0.2857142857142857,-564.0
38220,0.0,0.0,-4187.0
38280,-0.00035790980672870435,-0.25,6540.0
38340,-0.00035778175313059033,-0.125,9577.0
38400,-0.0014295925661186562,-0.5,23724.0
38460,0.0,-0.16666666666666666,6345.0
38520,-0.00035790980672870435,-0.25,-4551.0
38580,0.0007160759040458289,1.0,1667.0
38640,0.00035790980672870435,0.5,-5353.0
38700,-0.00035790980672870435,0.0,-5499.0
38760,-0.0007155635062611807,-0.2,339.0
38820,0.0,-0.4,5221.0
38880,0.00035778175313059033,0.16666666666666666,9632.0
38940,-0.0007155635062611807,-0.3333333333333333,-4335.0
39000,-0.00035803795202291446,0.0,3783.0
39060,-0.0010741138560687433,-0.375,-2647.0
39120,0.00035803795202291446,-0.125,7939.0
39180,-0.00178826895565093,-0.5714285714285714,-7584.0
39240,-0.00035803795202291446,-0.3333333333333333,-4417.0
39300,0.00035816618911174784,0.16666666666666666,-7023.0
39360,0.001075268817204301,0.4,-8521.0
39420,0.00035790980672870435,0.2,11210.0
39480,0.0010748835542816195,0.8,5882.0
39540,0.0010744985673352436,0.6,6136.0
39600,-0.00035803795202291446,-0.3333333333333333,-12991.0
39660,0.0,0.0,-6723.0
39720,-0.0014311270125223613,-0.6666666666666666,-14078.0
39780,-0.0007158196134574087,-0.16666666666666666,-1295.0
39840,-0.001073345259391771,-0.5,25925.0
39900,0.0,0.0,3992.0
39960,-0.00035803795202291446,0.0,4309.0
40020,0.0,-0.3333333333333333,5136.0
40080,0.00035816618911174784,0.5,23674.0
40140,0.00035816618911174784,0.0,-27953.0
40200,0.0,0.25,-23066.0
40260,-0.00035816618911174784,-0.1111111111111111,-936.0
40320,-0.0010748835542816195,-0.3333333333333333,11574.0
40380,-0.0014321518080916578,-0.625,4372.0
40440,0.0,0.0,-673.0
40500,0.00035816618911174784,0.1111111111111111,-1348.0
40560,0.00035829451809387314,0.4444444444444444,-11670.0
40620,0.0014347202295552368,0.42857142857142855,5008.0
40680,-0.0010756543564001434,-0.3,-15177.0
40740,-0.00322234156820623,-0.5,-10792.0
40800,-0.00322234156820623,-0.5625,3484.0
40860,-0.002507163323782235,-0.4375,1447.0
40920,-0.0032234957020057307,-0.6,1552.0
40980,0.0,-0.09090909090909091,-1693.0
41040,0.00035919540229885057,0.125,3156.0
41100,0.0021551724137931034,0.9,2399.0
41160,0.001436265709156194,0.6666666666666666,16163.0
41220,0.002874595759971254,0.875,9772.0
41280,0.0017946877243359654,0.75,-5910.0
41340,0.001436265709156194,0.3333333333333333,-7671.0
48600,0.0,0.25,-5496.0
48660,0.0,-0.16666666666666666,-698.0
48720,0.0017914725904693658,0.6,-3216.0
48780,0.005016123253314225,0.6666666666666666,3157.0
48840,0.006453926138400861,0.6818181818181818,-3868.0
48900,0.002867383512544803,0.36363636363636365,-8151.0
48960,0.0014342058085335247,0.058823529411764705,3940.0
49020,-0.000357653791130186,0.058823529411764705,6088.0
49080,-0.0042780748663101605,-0.4117647058823529,4967.0
49140,-0.003918774492340577,-0.1,3120.0
49200,-0.0014295925661186562,0.16666666666666666,10472.0
49260,0.0007160759040458289,0.0,14827.0
49320,-0.0014311270125223613,-0.6666666666666666,-1781.0
49380,0.0007160759040458289,0.16666666666666666,5113.0
49440,-0.000715307582260372,-0.16666666666666666,-3430.0
49500,-0.00035790980672870435,-0.16666666666666666,371.0
49560,-0.0014311270125223613,-0.3333333333333333,1752.0
49620,0.0007165890361877463,-0.1111111111111111,11047.0
49680,-0.0014311270125223613,-0.4444444444444444,-27034.0
49740,-0.0007158196134574087,0.0,2951.0
49800,-0.0017901897601145722,0.0,-3243.0
49860,-0.00035829451809387314,-0.4,9975.0
49920,-0.002506265664160401,-1.0,1413.0
49980,-0.00035829451809387314,-0.2857142857142857,10100.0
50040,-0.002507163323782235,-0.7777777777777778,-4993.0
50100,-0.0003586800573888092,-0.2857142857142857,-4695.0
50160,-0.001075268817204301,0.0,-398.0
50220,0.0003589375448671931,-0.2857142857142857,54.0
50280,-0.0007168458781362007,-0.3333333333333333,12752.0
50340,0.001436265709156194,0.5,1183.0
50400,-0.001076426264800861,-0.4,-20083.0
50460,-0.0003588087549336204,-0.2,-3221.0
50520,0.0003588087549336204,0.0,27.0
50580,-0.0010760401721664275,-0.42857142857142855,4651.0
50640,-0.002151308712800287,-0.625,-822.0
50700,-0.0007183908045977011,-0.5,-781.0
50760,-0.0010768126346015793,-0.625,-2030.0
50820,-0.001793400286944046,-0.6666666666666666,204.0
50880,-0.0003590664272890485,0.0,4499.0
50940,0.001437297879985627,0.7142857142857143,476.0
