,Momt5,rwR5,ABV_Diff
35460,-0.002357100766057749,-0.6666666666666666,-63757.0
35520,-0.0029463759575721863,-0.8,20651.0
35580,0.0,-0.2,10812.0
35640,-0.0005899705014749262,0.5,18098.0
35700,0.0005906674542232723,0.0,-18415.0
35760,0.0011813349084465446,0.4,-15498.0
35820,0.0035460992907801418,0.6,8782.0
35880,0.0017699115044247787,0.6666666666666666,6405.0
35940,0.0017709563164108619,0.5,-44714.0
36000,0.0017709563164108619,0.4,16909.0
36060,0.0011799410029498525,0.0,19327.0
36120,0.0005889281507656066,0.3333333333333333,6054.0
36180,0.0,-0.3333333333333333,2568.0
36240,0.0005892751915144372,0.6666666666666666,-5331.0
36300,0.0005892751915144372,0.6666666666666666,7178.0
36360,0.0,0.0,-23880.0
36420,0.0,0.25,7151.0
36480,0.0005889281507656066,0.25,-7044.0
36540,0.0005889281507656066,0.2,12819.0
36600,0.0,0.2,-75541.0
36660,0.0005892751915144372,-0.25,-41462.0
36720,-0.0005885815185403178,-0.5,-781.0
36780,-0.0011771630370806356,-0.4,-67319.0
36840,-0.0017657445556209534,-0.8,-46974.0
37800,-0.0005889281507656066,-0.2,-1093.0
37860,-0.002355712603062426,-0.6666666666666666,-5561.0
37920,-0.0017667844522968198,-0.6,943.0
37980,-0.0017678255745433118,-0.4,9499.0
38040,0.0,0.0,-22161.0
38100,0.0,-0.2,-1644.0
38160,0.0023612750885478157,0.5,14660.0
38220,0.0011799410029498525,0.3333333333333333,1424.0
38280,0.0035419126328217238,0.8,7925.0
38340,0.00294811320754717,0.5,-11045.0
38400,0.002357100766057749,0.42857142857142855,-31285.0
38460,0.0017667844522968198,0.42857142857142855,-8834.0
38520,0.0029463759575721863,0.8333333333333334,10515.0
38580,0.000588235294117647,0.25,-72766.0
38640,0.0,-0.3333333333333333,-32918.0
38700,-0.0005878894767783657,-0.25,-3542.0
38760,-0.0011757789535567313,-0.4,-8593.0
38820,-0.0023501762632197414,-0.6666666666666666,-21014.0
38880,-0.0011757789535567313,-0.4,-44651.0
38940,-0.001763668430335097,-0.5,-33473.0
39000,-0.000588235294117647,0.0,-13393.0
39060,-0.0005885815185403178,-0.25,-20464.0
39120,0.0,-0.25,-37461.0
39180,-0.0011771630370806356,-0.5,-34280.0
39240,-0.0005889281507656066,-0.6666666666666666,-36791.0
39300,-0.0011771630370806356,-0.6666666666666666,-4666.0
39360,-0.0005889281507656066,-0.3333333333333333,-27855.0
39420,-0.0005889281507656066,0.0,-26764.0
39480,-0.0005892751915144372,-0.25,-36502.0
39540,-0.0005892751915144372,0.0,-12057.0
39600,-0.0011785503830288745,-0.5,-19668.0
39660,-0.0005892751915144372,0.0,11170.0
39720,-0.0005892751915144372,-0.4,-56180.0
39780,-0.0005896226415094339,-0.25,-16699.0
39840,-0.0005896226415094339,-0.25,64549.0
39900,0.0005899705014749262,0.25,36014.0
39960,0.0,0.0,78160.0
40020,0.0005896226415094339,0.14285714285714285,26055.0
40080,0.0029498525073746312,0.8571428571428571,23080.0
40140,0.002359882005899705,0.5,14823.0
40200,0.001768867924528302,0.5,-11047.0
40260,0.001768867924528302,0.4,-31153.0
40320,0.0011785503830288745,0.0,33634.0
40380,0.0,0.0,91145.0
40440,0.0011771630370806356,0.25,119039.0
40500,0.0011771630370806356,0.6,18513.0
40560,0.0011771630370806356,0.6,14520.0
40620,0.002354326074161271,0.6666666666666666,38387.0
40680,0.000588235294117647,0.0,-29151.0
40740,0.0,-0.2,-33549.0
40800,-0.0005878894767783657,-0.3333333333333333,-10597.0
40860,-0.0005878894767783657,-0.5,-6823.0
40920,-0.0017615971814445098,-0.5,-15974.0
40980,-0.0011757789535567313,-0.75,38083.0
41040,-0.0011757789535567313,0.0,-10163.0
41100,0.0,0.6666666666666666,-4093.0
41160,-0.0017647058823529412,-0.5,5286.0
41220,-0.001176470588235294,-0.25,93865.0
41280,-0.0005885815185403178,-0.5,46313.0
41340,-0.0005885815185403178,-0.25,-525.0
48600,-0.001176470588235294,0.0,-17397.0
48660,-0.0011785503830288745,-0.6666666666666666,8396.0
48720,-0.001177856301531213,-0.3333333333333333,-12692.0
48780,-0.0005889281507656066,-0.16666666666666666,-34120.0
48840,0.0,0.2,-56970.0
48900,-0.0005889281507656066,0.2,-83322.0
48960,0.0011799410029498525,0.4,-36683.0
49020,0.0005896226415094339,0.0,82.0
49080,0.0005892751915144372,0.0,13119.0
49140,0.0005889281507656066,0.25,-36316.0
49200,0.0005892751915144372,0.25,-27437.0
49260,0.0005892751915144372,0.5,73185.0
49320,0.0011785503830288745,0.5,110348.0
49380,0.001177856301531213,0.25,-6647.0
49440,0.0005885815185403178,0.5,-33982.0
49500,0.0005889281507656066,0.5,3586.0
49560,-0.0005889281507656066,-0.2857142857142857,-14873.0
49620,-0.002354326074161271,-0.8571428571428571,-11807.0
49680,-0.0017647058823529412,-0.42857142857142855,-3174.0
49740,-0.002352941176470588,-0.6666666666666666,-23450.0
49800,-0.0011771630370806356,0.0,-28374.0
49860,-0.0005892751915144372,0.0,-39778.0
49920,0.0011799410029498525,0.0,3891.0
49980,0.0,0.0,12472.0
50040,0.0005896226415094339,0.3333333333333333,-62907.0
50100,0.0,0.25,-81668.0
50160,0.0,-0.25,24764.0
50220,-0.0011785503830288745,-0.5,-5920.0
50280,-0.0005892751915144372,-0.5,-2509.0
50340,-0.0011785503830288745,-0.3333333333333333,-52234.0
50400,-0.0017678255745433118,-0.25,-25425.0
50460,-0.0005896226415094339,-0.25,13505.0
50520,0.0011799410029498525,0.4,-2812.0
50580,0.0005896226415094339,0.2,18267.0
50640,0.0017699115044247787,0.4,-7117.0
50700,0.0017709563164108619,0.75,-96720.0
50760,0.0005899705014749262,-0.3333333333333333,-103131.0
50820,-0.0029463759575721863,-0.5714285714285714,-25556.0
50880,-0.0017678255745433118,-0.5714285714285714,-8999.0
50940,-0.002944640753828033,-0.5714285714285714,-34859.0
51000,-0.0035356511490866236,-0.8,-14843.0
51060,-0.0011792452830188679,-0.4,6422.0
51120,0.000591016548463357,-0.25,22626.0
51180,0.0,0.0,46152.0
51240,0.0011813349084465446,0.6,63421.0
51300,0.0017740981667652277,0.5,-6864.0
51360,0.0,0.0,68995.0
51420,0.0,-0.25,-14861.0
51480,0.0,0.0,69289.0
51540,-0.0011799410029498525,-0.5,2614.0
51600,0.0005903187721369539,0.6666666666666666,-20718.0
51660,0.0011806375442739079,0.3333333333333333,-11828.0
51720,0.0017720023626698169,0.6,-45503.0
51780,0.0011806375442739079,0.4,-41885.0
51840,0.002362669816893089,0.5,22158.0
51900,0.0011799410029498525,0.5,-12389.0
51960,0.0005896226415094339,0.0,132577.0
52020,0.0005896226415094339,0.0,141721.0
52080,0.0005896226415094339,0.6666666666666666,180460.0
52140,0.0005892751915144372,0.3333333333333333,105871.0
52200,0.0,0.5,-48845.0
52260,-0.0005892751915144372,-0.6666666666666666,-116787.0
52320,-0.0005892751915144372,-0.3333333333333333,-86079.0
52380,-0.0005892751915144372,-0.6666666666666666,-24645.0
52440,-0.0005889281507656066,0.0,118931.0
52500,0.0,0.0,-13802.0
52560,0.0,0.5,-18080.0
52620,0.0,0.5,21494.0
52680,-0.0005896226415094339,-0.5,38873.0
52740,0.0,0.3333333333333333,51270.0
52800,0.0005892751915144372,0.2857142857142857,72621.0
52860,0.0023584905660377358,0.5714285714285714,-25768.0
52920,0.0023584905660377358,0.5714285714285714,-4949.0
52980,0.0035398230088495575,0.8333333333333334,1672.0
53040,0.0005892751915144372,0.2,-64486.0
53100,-0.0005889281507656066,-0.5714285714285714,-27799.0
53160,-0.00411764705882353,-0.875,-5205.0
53220,-0.002352941176470588,-0.625,-8337.0
53280,-0.003527336860670194,-0.7142857142857143,-3197.0
53340,-0.0017667844522968198,-0.4,-30721.0
53400,-0.0011785503830288745,0.0,1170.0
53460,0.0005906674542232723,0.0,-11355.0
53520,-0.0011792452830188679,-0.3333333333333333,-47970.0
53580,-0.0005899705014749262,0.0,-36176.0
53640,-0.0005899705014749262,-0.25,-5215.0
53700,-0.0011799410029498525,-0.5,-5354.0
53760,-0.0005903187721369539,0.0,-7711.0
53820,-0.0011806375442739079,-0.5,-34738.0
53880,-0.0005903187721369539,0.0,-35561.0
53940,0.0005903187721369539,0.14285714285714285,-86617.0
