,Date,Time,Open,High,Low,Close,Volume,Amount,ABV_Diff,ZT
32400,2020-07-20,09:00:00,5601.0,5622.0,5567.0,5591.0,3568.0,99870270.05450001,832.0,7.671665358411206e-05
32460,2020-07-20,09:01:00,5596.0,5596.0,5586.0,5592.0,368.0,10287619.993,-283.0,3.352155309299665e-05
32520,2020-07-20,09:02:00,5586.0,5592.0,5573.0,5573.0,564.0,15745235.011,-430.0,4.957464845330625e-06
32580,2020-07-20,09:03:00,5582.0,5590.0,5579.0,5582.0,309.0,8626055.000500001,-112.0,-3.2487621270504974e-05
32640,2020-07-20,09:04:00,5585.0,5587.0,5580.0,5581.0,252.0,7034849.999,351.0,-1.2172390128454513e-05
32700,2020-07-20,09:05:00,5583.0,5583.0,5562.0,5565.0,816.0,22731584.966000002,-622.0,-6.112402753557985e-06
32760,2020-07-20,09:06:00,5561.0,5565.0,5558.0,5560.0,757.0,21050234.976000004,637.0,-7.712931135728241e-06
32820,2020-07-20,09:07:00,5554.0,5566.0,5554.0,5560.0,761.0,21156310.021,392.0,-3.9400109680490956e-05
32880,2020-07-20,09:08:00,5560.0,5569.0,5559.0,5563.0,322.0,8958034.9875,-203.0,-1.0509863921601462e-05
32940,2020-07-20,09:09:00,5564.0,5568.0,5562.0,5563.0,190.0,5286134.9995,-610.0,-6.356693457915446e-06
33000,2020-07-20,09:10:00,5563.0,5565.0,5552.0,5555.0,540.0,15006144.997000001,222.0,-4.1233718126643115e-05
33060,2020-07-20,09:11:00,5552.0,5557.0,5547.0,5550.0,555.0,15403450.0065,-250.0,-4.015118354916896e-05
33120,2020-07-20,09:12:00,5557.0,5563.0,5552.0,5560.0,147.0,4084904.9984999998,-189.0,-1.8656401748286764e-05
33180,2020-07-20,09:13:00,5563.0,5563.0,5555.0,5557.0,199.0,5530110.0030000005,-26.0,-2.588521996771398e-05
33240,2020-07-20,09:14:00,5560.0,5560.0,5542.0,5553.0,881.0,24433979.987499997,1805.0,1.4543373150991446e-05
33300,2020-07-20,09:15:00,5540.0,5548.0,5534.0,5535.0,1262.0,34953765.0245,-601.0,-2.1296588104518752e-05
33360,2020-07-20,09:16:00,5545.0,5548.0,5541.0,5545.0,327.0,9064014.9835,142.0,-2.0044101794577836e-05
33420,2020-07-20,09:17:00,5548.0,5548.0,5541.0,5542.0,114.0,3159744.9935,243.0,-7.033015837348833e-06
33480,2020-07-20,09:18:00,5534.0,5544.0,5532.0,5535.0,953.0,26383599.986,-398.0,-7.754521361368484e-05
33540,2020-07-20,09:19:00,5543.0,5550.0,5542.0,5545.0,400.0,11090839.995000001,1760.0,5.034481176971581e-05
33600,2020-07-20,09:20:00,5550.0,5556.0,5546.0,5550.0,344.0,9546474.997,-265.0,-6.520847587285986e-06
33660,2020-07-20,09:21:00,5555.0,5558.0,5552.0,5555.0,153.0,4249535.002,-268.0,-1.2095297035092735e-05
33720,2020-07-20,09:22:00,5558.0,5559.0,5543.0,5546.0,650.0,18037884.973,14.0,1.8003017548196e-05
33780,2020-07-20,09:23:00,5554.0,5559.0,5553.0,5559.0,185.0,5140344.9885,374.0,4.050709282757599e-05
